rank,title,score,info,type,episodes,episode_bins
96,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,"Movie (1 eps)         Jan 2020 - Jan 2020         509,098 members",Movie,1.0,Short (<=12)
97,Made in Abyss: Retsujitsu no Ougonkyou,8.61,"TV (12 eps)         Jul 2022 - Sep 2022         504,756 members",TV,12.0,Short (<=12)
98,Natsume Yuujinchou Roku,8.61,"TV (11 eps)         Apr 2017 - Jun 2017         199,911 members",TV,11.0,Short (<=12)
99,Kenpuu Denki Berserk,8.6,"TV (25 eps)         Oct 1997 - Apr 1998         724,355 members",TV,25.0,Medium (13–26)
100,Dungeon Meshi,8.6,"TV (24 eps)         Jan 2024 - Jun 2024         496,507 members",TV,24.0,Medium (13–26)
101,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,"Movie (1 eps)         Jun 2019 - Jun 2019         771,289 members",Movie,1.0,Short (<=12)
102,Suzumiya Haruhi no Shoushitsu,8.59,"Movie (1 eps)         Feb 2010 - Feb 2010         634,146 members",Movie,1.0,Short (<=12)
103,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.59,"Movie (1 eps)         Apr 2009 - Apr 2009         230,202 members",Movie,1.0,Short (<=12)
104,Shin Evangelion Movie:||,8.58,"Movie (1 eps)         Mar 2021 - Mar 2021         404,686 members",Movie,1.0,Short (<=12)
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,"TV (39 eps)         Oct 2018 - Jul 2019         1,105,469 members",TV,39.0,Long (>26)
106,Mushishi Zoku Shou: Suzu no Shizuku,8.58,"Movie (1 eps)         May 2015 - May 2015         136,993 members",Movie,1.0,Short (<=12)
107,Natsume Yuujinchou Shichi,8.57,"TV (12 eps)         Oct 2024 - Dec 2024         50,876 members",TV,12.0,Short (<=12)
108,Doupo Cangqiong: San Nian Zhi Yue,8.57,"ONA (13 eps)         Oct 2021 - Jan 2022         10,569 members",ONA,13.0,Medium (13–26)
109,[Oshi no Ko],8.57,"TV (11 eps)         Apr 2023 - Jun 2023         961,018 members",TV,11.0,Short (<=12)
110,Shingeki no Kyojin,8.56,"TV (25 eps)         Apr 2013 - Sep 2013         4,183,450 members",TV,25.0,Medium (13–26)
111,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,"Movie (1 eps)         Jul 1997 - Jul 1997         994,087 members",Movie,1.0,Short (<=12)
112,[Oshi no Ko] 2nd Season,8.56,"TV (13 eps)         Jul 2024 - Oct 2024         450,663 members",TV,13.0,Medium (13–26)
113,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.56,"Movie (1 eps)         Oct 2020 - Oct 2020         1,677,884 members",Movie,1.0,Short (<=12)
114,Kizumonogatari II: Nekketsu-hen,8.56,"Movie (1 eps)         Aug 2016 - Aug 2016         472,205 members",Movie,1.0,Short (<=12)
115,Nana,8.56,"TV (47 eps)         Apr 2006 - Mar 2007         735,401 members",TV,47.0,Long (>26)
116,Natsume Yuujinchou Go,8.56,"TV (11 eps)         Oct 2016 - Dec 2016         199,826 members",TV,11.0,Short (<=12)
117,Natsume Yuujinchou San,8.56,"TV (13 eps)         Jul 2011 - Sep 2011         266,454 members",TV,13.0,Medium (13–26)
118,Ookami Kodomo no Ame to Yuki,8.56,"Movie (1 eps)         Jul 2012 - Jul 2012         847,045 members",Movie,1.0,Short (<=12)
119,Jujutsu Kaisen,8.55,"TV (24 eps)         Oct 2020 - Mar 2021         2,828,913 members",TV,24.0,Medium (13–26)
120,Kimi no Suizou wo Tabetai,8.55,"Movie (1 eps)         Sep 2018 - Sep 2018         1,055,372 members",Movie,1.0,Short (<=12)
121,Perfect Blue,8.55,"Movie (1 eps)         Feb 1998 - Feb 1998         773,376 members",Movie,1.0,Short (<=12)
122,Shouwa Genroku Rakugo Shinjuu,8.55,"TV (13 eps)         Jan 2016 - Apr 2016         305,765 members",TV,13.0,Medium (13–26)
123,Slam Dunk,8.55,"TV (101 eps)         Oct 1993 - Mar 1996         324,855 members",TV,101.0,Long (>26)
124,Yojouhan Shinwa Taikei,8.55,"TV (11 eps)         Apr 2010 - Jul 2010         477,491 members",TV,11.0,Short (<=12)
125,Haikyuu!! To the Top Part 2,8.55,"TV (12 eps)         Oct 2020 - Dec 2020         885,971 members",TV,12.0,Short (<=12)
126,Fate/Zero 2nd Season,8.54,"TV (12 eps)         Apr 2012 - Jun 2012         1,164,736 members",TV,12.0,Short (<=12)
127,Steins;Gate 0,8.54,"TV (23 eps)         Apr 2018 - Sep 2018         922,043 members",TV,23.0,Medium (13–26)
128,Shingeki no Kyojin Season 2,8.53,"TV (12 eps)         Apr 2017 - Jun 2017         2,894,646 members",TV,12.0,Short (<=12)
129,Zoku Natsume Yuujinchou,8.53,"TV (13 eps)         Jan 2009 - Mar 2009         260,856 members",TV,13.0,Medium (13–26)
130,Fruits Basket 2nd Season,8.53,"TV (25 eps)         Apr 2020 - Sep 2020         557,715 members",TV,25.0,Medium (13–26)
131,Hotaru no Haka,8.53,"Movie (1 eps)         Apr 1988 - Apr 1988         729,241 members",Movie,1.0,Short (<=12)
132,Bakuman. 3rd Season,8.52,"TV (25 eps)         Oct 2012 - Mar 2013         342,115 members",TV,25.0,Medium (13–26)
133,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,"Movie (1 eps)         Apr 2010 - Apr 2010         172,720 members",Movie,1.0,Short (<=12)
134,Gintama. Porori-hen,8.52,"TV (13 eps)         Oct 2017 - Dec 2017         214,815 members",TV,13.0,Medium (13–26)
135,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.52,"ONA (14 eps)         Dec 2022 - Dec 2022         256,982 members",ONA,14.0,Medium (13–26)
136,Mushishi: Hihamukage,8.52,"TV Special (1 eps)         Jan 2014 - Jan 2014         148,634 members",TV Special,1.0,Short (<=12)
137,Samurai Champloo,8.52,"TV (26 eps)         May 2004 - Mar 2005         1,306,170 members",TV,26.0,Medium (13–26)
138,Tu Bian Yingxiong X,8.52,"ONA (24 eps)         Apr 2025 -          132,026 members",ONA,24.0,Medium (13–26)
139,Uma Musume: Pretty Derby - Shin Jidai no Tobira,8.52,"Movie (1 eps)         May 2024 - May 2024         16,049 members",Movie,1.0,Short (<=12)
140,Kara no Kyoukai Movie 5: Mujun Rasen,8.51,"Movie (1 eps)         Aug 2008 - Aug 2008         248,304 members",Movie,1.0,Short (<=12)
141,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,"TV (26 eps)         Jan 2004 - Jan 2005         236,538 members",TV,26.0,Medium (13–26)
142,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,"TV (39 eps)         Apr 2016 - Dec 2016         1,204,663 members",TV,39.0,Long (>26)
143,Dandadan,8.5,"TV (12 eps)         Oct 2024 - Dec 2024         759,635 members",TV,12.0,Short (<=12)
